Bettis,Jerome,Pittsburgh,RB
Faulk,Marshall,St. Louis,RB
Fletcher,Terrell,San Diego,RB
Smith,Emmitt,Dallas,RB
Alexander,Derrick,Kansas City,WR
Lewis,Jermaine,Baltimore,WR
Pickens,Carl,Tennessee,WR
Robinson,Marcus,Chicago,WR
Glover,Andrew,Minnesota,TE
LaFleur,David,Dallas,TE
Buffalo K,,Buffalo,K
San Francisco K, ,San Francisco,K
Dallas OL,,Dallas,OL
Minnesota OL,,Minnesota,OL
Carter,Kevin,St. Louis,DL
McKenzie,Keith,Green Bay,DL
Swann,Eric,Arizona,DL
McDaniel,Ed,Minnesota,LB
Norton,Ken,San Francisco,LB
Tuggle,Jessie,Atlanta,LB
Davis,Eric,Carolina,DB
Langham,Antonio,Cleveland,DB
Williams,Aeneas,Arizona,DB
Dungy,Tony,Tampa Bay,HC
Mora,Jim,Indianapolis,HC
Chicago QB,,Chicago,QB
Seattle QB,,Seattle,QB
Gary,Orlandis,Denver,RB
Levens,Dorsey,Green Bay,RB
Taylor,Fred,Jacksonville,RB
Edwards,Troy,Pittsburgh,WR
Freeman,Antonio,Green Bay,WR
Glenn,Terry,New England,WR
Smith,Jimmy,Jacksonville,WR
Coates,Ben,Baltimore,TE
Riemersma,Jay,Buffalo,TE
Dallas K,,Dallas,K
Indianapolis K,,Indianapolis,K
Denver OL,,Denver,OL
New Orleans OL,,New Orleans,OL
Sinclair,Michael,Seattle,DL
Smith,Chuck,Atlanta,DL
Wilkinson,Dan,Washington,DL
Brooks,Derrick,Tampa Bay,LB
Lewis,Ray,Baltimore,LB
Miller,Jamir,Cleveland,LB
Thomas,Derrick,Kansas City,LB
Brown,Eric,Denver,DB
Carter,Marty,Atlanta,DB
Shade,Sam,Washington,DB
