WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,Tot
LB,6957,Barnett,1 ,17 ,15*,5*,13*,51
LB,3975,Colvin,4*,1*,0 ,0 ,0x,5
LB,6531,Harris,5x,6x,4x,9x,7 ,31
LB,5665,Peterson,6 ,12*,9*,2*,4 ,33
LB,3349,Trotter,7x,4x,5x,7x,12 ,35
DB,4931,Bashir,5x,3x,8x,4 ,0 ,20
DB,5688,Brown,8 ,2x,0b,3x,4x,17
DB,6788,Russell,10x,7x,10x,9x,9 ,45
DB,5734,Wesley,8*,9*,2*,13*,4*,36
DB,6553,Williams,4*,1*,4*,4*,9*,22
,,Starter Points = ,90,64,67,145,126
,,Potential Points = ,130,94,78,167,148
,,Offensive Points = ,67,38,31,118,92
,,Defensive Points = ,23,26,36,27,34
,,Total Points For = ,43,6,0,93,65

Whiskey Tango
,,Player/Week,1,2,3,4,5,Tot
HC,1669,Tice,3*,4*,4*,5*,4*,20
QB,1234,Gannon,15*,0*,0*,23*,-4*,34
QB,1349,Johnson,12 ,10 ,12 ,0b,22 ,56
QB,2943,Plummer,-6x,18x,20 ,13 ,8 ,53
RB,2938,Barber,8*,0*,6*,0B,9 ,23
RB,4867,Hambrick,0 ,0 ,0b,13 ,-2*,11
RB,1294,Hearst,15*,4*,0*,4*,2*,25
RB,5656,Jones,0 ,0 ,-2x,0b,0x,-2
WR,5175,Bennett,0x,0x,15 ,6 ,0x,21
WR,1094,Brown,0*,3*,0*,4*,6 ,13
WR,1795,Galloway,16 ,0 ,0b,5 ,0*,21
WR,2745,Horn,11*,11*,0*,2*,6 ,30
WR,4926,Morgan,0 ,0 ,0x,9x,0x,9
WR,3429,Shaw,0x,8x,0x,11x,0*,19
WR,4923,Wayne,0x,0x,26 ,0 ,0 ,26
TE,1605,Sharpe,0*,8*,6*,10*,1*,25
K ,4883,Feely,9*,7*,4*,3*,8*,31
K ,3561,Vanderjagt,11 ,17 ,12 ,15 ,8 ,63
Off,612,Kansas City,6*,11*,12*,3*,9*,41
DL,3297,Ellis,5 ,11 ,0b,1 ,1 ,18
DL,3527,Hicks,3*,4*,4*,3*,2*,16
DL,2932,Pryce,7*,1*,0*,4*,0*,12
LB,5689,Gold,21 ,8 ,5 ,9 ,6 ,49
LB,5826,Jones,6x,13x,7 ,0b,4*,30
LB,2651,Lewis,5*,13*,10*,11*,0b,39
LB,2758,Thomas,4*,8*,5*,0B,7*,24
DB,3312,Darius,3*,3*,2*,5*,5*,18
DB,2376,Lassiter,9 ,5 ,4*,2*,6 ,26
DB,2956,Minter,6*,3*,0b,5 ,4*,18
,,Starter Points = ,95,80,57,79,40
,,Potential Points = ,138,112,77,121,94
,,Offensive Points = ,67,48,32,54,18
,,Defensive Points = ,28,32,25,25,22
,,Total Points For = ,39,22,12,24,0

Crusaders
,,Player/Week,1,2,3,4,5,Tot
HC,1545,Shanahan,5*,5*,5*,3*,0*,18
QB,1096,Brunell,15x,6 ,-2 ,0x,0x,19
QB,3591,Fiedler,16x,12 ,2*,0b,-4 ,26
QB,6511,Harrington,24x,-6x,-5x,12x,3 ,28
QB,1755,McNair,12 ,2*,13 ,18*,21*,66
QB,5482,Warner,-2*,0 ,0 ,0 ,0b,-2
RB,2714,Davis,6*,8 ,0b,19*,14*,47
RB,3910,Faulk,2 ,2 ,3 ,-2 ,0 ,5
RB,3868,James,2*,12*,4*,0*,0*,18
RB,1778,Martin,0 ,0*,2*,4 ,0b,6
RB,5815,Morton,0 ,0x,0x,0x,0x,0
WR,4935,Ferguson,2 ,6 ,0 ,0 ,0x,8
WR,2649,Harrison,5*,6*,0*,29*,30 ,70
WR,6521,Stallworth,8 ,6 ,-2 ,0 ,0 ,12
WR,5659,Taylor,7 ,0x,0x,0x,0b,7
WR,3367,Ward,20*,14*,6*,6*,0*,46
WR,5653,Warrick,0x,15 ,6 ,2 ,2*,25
TE,3330,Alexander,0 ,0x,0x,0x,0x,0
TE,5663,Franks,3*,1*,1*,7*,1*,13
K ,1197,Elam,14*,14*,7*,9*,12*,56
Off,609,Jacksonville,1x,1x,7x,6*,4 ,19
Off,603,Miami,1*,13*,10*,0b,7*,31
DL,6612,Brown,5x,9 ,0b,4 ,8 ,26
DL,4003,Dingle,9x,3x,5x,2*,1*,20
DL,6533,Grant,11x,4 ,2*,3*,1*,21
DL,3973,Smith,4*,3*,1*,3x,3x,14
DL,3296,Wistrom,2*,3x,0x,2x,0b,7
LB,2702,Bruschi,3x,24x,5x,7x,8*,47
LB,5679,Bulluck,5*,9*,11*,8*,8*,41
LB,3322,Cowart,8*,12*,12*,6*,0b,38
LB,3970,Holdman,15x,8 ,0b,3 ,8x,34
LB,3349,Trotter,7 ,4x,5x,7x,12x,35
DB,4911,Archuleta,9*,6*,6*,1*,0b,22
DB,6411,Harper,20x,21x,6x,5*,6*,58
DB,3320,Parrish,2 ,4x,2x,1x,10x,19
DB,3098,Stoutmire,16x,6 ,4*,0b,6*,32
DB,2312,Woodson,10 ,2*,0b,3x,5x,20
,,Starter Points = ,82,102,73,122,87
,,Potential Points = ,111,115,91,128,124
,,Offensive Points = ,54,67,37,97,57
,,Defensive Points = ,28,35,36,25,30
,,Total Points For = ,26,26,0,70,23

Illuminati
,,Player/Week,1,2,3,4,5,Tot
HC,5648,Haslett,0*,5*,0*,0*,0*,5
QB,1214,Favre,2*,10*,6*,16*,12*,46
QB,1265,Green,6x,2x,3x,4x,10 ,25
QB,6511,Harrington,24 ,-6 ,-5 ,12 ,3x,28
RB,6526,Duckett,0x,12x,0x,6*,-1 ,17
RB,3207,Holmes,27*,24*,21*,4*,3*,79
RB,1621,Smith,1 ,0 ,-2 ,6x,0x,5
RB,3869,Williams,11*,16*,12*,0b,4*,43
WR,6775,Boerigter,0 ,0 ,0 ,0x,0x,0
WR,6982,Boldin,31 ,4 ,4 ,3 ,0*,42
WR,1095,Bruce,10 ,2 ,8*,0*,0b,20
WR,4906,Gardner,1*,16*,6*,0*,0*,23
WR,6931,Johnson,3 ,2 ,19 ,7 ,0b,31
WR,5641,Thompson,0*,0*,0 ,0b,0x,0
TE,3908,Kleinsasser,0x,14x,1x,0*,0x,15
TE,6522,Shockey,1*,7*,2*,0b,12*,22
K ,1383,Kasay,5x,13x,0b,13*,8*,39
K ,3141,Mare,2*,3*,5*,0b,13x,23
Off,629,New Orleans,1*,4*,0*,8*,11*,24
DL,4037,Gregg,6*,1*,5*,7*,0b,19
DL,2952,Wiley,3*,4*,2*,3*,6*,18
DL,6937,Williams,2 ,0 ,2 ,6 ,2*,12
LB,2536,Gildon,4*,2*,8*,3*,3 ,20
LB,6968,Henderson,0 ,0 ,1 ,3 ,0 ,4
LB,3937,Porter,0 ,0 ,4*,4*,3*,11
LB,5658,Urlacher,7*,12*,0b,4 ,7*,30
DB,6933,Newman,5*,13*,0b,5 ,8*,31
DB,6532,Reed,7*,25*,15*,9*,0b,56
DB,4939,Smoot,4 ,3 ,8*,5*,8*,28
,,Starter Points = ,77,142,102,78,84
,,Potential Points = ,139,146,115,92,84
,,Offensive Points = ,45,85,60,47,50
,,Defensive Points = ,32,57,42,31,34
,,Total Points For = ,10,61,24,8,13

Green Wave
,,Player/Week,1,2,3,4,5,Tot
HC,1705,Wannstedt,0*,4*,4*,0B,4*,12
QB,3995,Brooks,4 ,12 ,5*,-8 ,3 ,16
QB,3866,McNabb,-3*,-8*,0b,1*,2*,-8
QB,1653,Testaverde,0x,11x,7 ,1 ,0b,19
RB,2944,Dillon,0 ,9 ,0 ,0 ,0 ,9
RB,2917,Dunn,6*,3*,0*,0*,7*,16
RB,1213,Faulk,3*,9*,0*,0 ,0b,12
RB,3991,Gary,0 ,0 ,0x,0x,7x,7
RB,2927,Smith,0x,0x,0 ,1*,10*,11
WR,3935,Bates,6x,0x,0x,0*,0 ,6
WR,1093,Brown,7x,0 ,0x,13x,0x,20
WR,1145,Conway,0 ,3 ,2 ,0 ,0b,5
WR,5729,Jackson,0 ,19*,6*,0b,0*,25
WR,5696,Porter,0*,0 ,0 ,0 ,0 ,0
WR,1844,Smith,1*,2*,0*,1*,18*,22
TE,1825,Brady,0*,2*,1*,0*,0*,3
TE,1827,Fauria,0 ,13 ,1 ,1x,1x,16
K ,3143,Longwell,5*,8*,9*,8*,5*,35
Off,631,Baltimore,2x,27x,9 ,12*,0b,50
Off,611,Denver,13*,13*,13x,0x,14x,53
Off,602,Indianapolis,2x,6x,5x,3x,5*,21
DL,4017,Coleman,6 ,0*,5 ,4*,4 ,19
DL,1982,Douglas,7*,2*,0*,2*,2*,13
DL,2210,Sapp,0*,2 ,13*,0b,3*,18
LB,2911,Boulware,4*,2*,1 ,1 ,0b,8
LB,2711,Edwards,9*,3*,8*,11*,9*,40
LB,3466,Wayne,4 ,7 ,0B,2*,3*,16
DB,4912,Clements,8x,4x,25x,2*,7 ,46
DB,2020,Glenn,4*,4*,5 ,1*,0b,14
DB,3328,Kelly,7*,13*,1*,0b,1*,22
DB,2123,Marion,4 ,4 ,6*,0b,9*,23
,,Starter Points = ,56,76,66,45,78
,,Potential Points = ,69,121,78,45,87
,,Offensive Points = ,25,52,38,23,51
,,Defensive Points = ,31,24,28,22,27
,,Total Points For = ,0,0,11,0,17

War Eagles
,,Player/Week,1,2,3,4,5,Tot
HC,3622,Reid,0*,0*,0B,4*,3*,7
QB,1756,Collins,-3 ,15 ,19 ,0b,-2*,29
QB,3875,Culpepper,16*,8*,12*,0 ,0 ,36
RB,5027,Buckhalter,0 ,0 ,0b,4 ,0 ,4
RB,2644,George,0*,0*,10*,0 ,0*,10
RB,6592,Gordon,0x,0x,0 ,6*,0b,6
RB,4914,McAllister,11*,11*,0*,12*,12*,46
RB,4932,Thomas,0 ,0 ,0b,11x,6 ,17
WR,3872,Boston,0 ,0 ,5*,0 ,33*,38
WR,4077,Driver,0*,0 ,0 ,0*,10 ,10
WR,6527,Lelie,0 ,0*,11 ,8*,0 ,19
WR,2656,Toomer,3*,15*,8*,0b,0*,26
TE,5676,Becht,1 ,1 ,-1 ,0x,0b,1
TE,6622,McMichael,0*,7*,2*,0b,1*,10
K ,2842,Vinatieri,0 ,7 ,12*,5 ,9*,33
K ,1873,Wilkins,7*,9*,11 ,15*,0b,42
Off,624,Minnesota,7x,12x,6x,3 ,10*,38
Off,630,San Fran,14*,8*,1*,5*,7 ,35
DL,5662,Abraham,13*,5*,2*,5*,0b,25
DL,6519,Freeney,1*,4 ,0 ,11 ,2*,18
DL,3894,Kerney,5 ,3*,0*,1x,4x,13
DL,2140,McGinest,3x,13x,5x,6 ,0*,27
LB,1900,Barrow,12x,17x,5 ,0b,3x,37
LB,3300,Brooking,3*,8*,8*,4*,7*,30
LB,3873,Claiborne,12x,7x,5x,11 ,13*,48
LB,4020,Foreman,7x,11x,6x,12 ,0b,36
LB,4902,Morgan,4 ,0 ,0b,0x,6x,10
LB,3900,Peterson,5*,6 ,3*,9x,4x,27
LB,6619,Taylor,11x,4*,7 ,3x,5x,30
LB,4941,Winborn,5 ,3x,8x,4x,0x,20
