WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,1534,Fisher,3*,0*,4*,4*,0*,5*,5*,4*,0B,5*,3*,3*,0*,0*,3 ,39
QB,1064,Bledsoe,6 ,17*,-4*,14 ,5*,-3x,5x,-10x,0b,-4x,-2x,4x,13x,2x,10x,53
QB,5848,Brady,-8*,21 ,0 ,10 ,5 ,0*,12x,3x,20x,0b,-1x,12x,6x,0x,14x,94
QB,6509,Carr,9x,4x,2x,9*,0b,13 ,0*,6 ,0x,10x,-4x,0x,-2x,0x,0x,47
QB,3875,Culpepper,16x,8x,12x,0x,0x,0b,16x,10x,19x,31x,12x,-2*,9*,20*,6 ,157
QB,6935,Leftwich,0x,6x,6x,0x,14 ,0 ,0b,0*,-1 ,12 ,-6 ,-2 ,14 ,6 ,4 ,53
QB,5667,Pennington,0 ,0 ,0x,0x,0b,0x,0 ,-2 ,20*,15*,19*,6 ,10 ,-4 ,-4 ,60
RB,5838,Anderson,0x,7x,5x,0*,0x,0x,6x,0x,6x,0b,0x,0x,0x,0x,0x,24
RB,4920,Bennett,0x,0x,0 ,0 ,0 ,0b,0 ,0 ,0 ,-2*,1 ,7*,6*,3*,0 ,15
RB,5654,Lewis,5*,35*,11*,15*,0b,7*,4*,14*,2*,9*,0*,10*,7*,28*,6 ,153
RB,6951,McGahee,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0b,0 ,0 ,0 ,0 ,0 ,0 ,0
RB,7027,Pinner,0x,0x,0x,0x,0x,0b,0x,0x,0x,0x,0x,0 ,0 ,0 ,0 ,0
RB,6559,Portis,22*,6*,0*,0 ,19*,0*,16*,7*,13*,0b,5*,12x,25x,49x,20x,194
RB,7033,Smith,0 ,0 ,0 ,6x,4x,0b,6x,0x,0x,0x,0x,0x,0x,-2x,9x,23
WR,6573,Branch,0x,10x,0x,0x,1x,0x,2x,0x,10x,0b,0x,1 ,8 ,5 ,0 ,37
WR,6988,Calico,6x,6x,0x,0x,5x,3x,0x,6x,0b,6x,0 ,0*,0 ,0 ,0 ,32
WR,4946,Chambers,22 ,3 ,7 ,0b,0*,0*,4x,8x,6x,0x,0x,0x,22x,0x,3x,75
WR,5727,Coles,5*,25*,9*,1*,1*,2 ,0*,0b,6*,14*,0*,6 ,4*,0*,0 ,73
WR,2913,Hilliard,-2x,11x,15x,0b,3x,1x,0x,21x,7 ,0*,0x,0x,1x,0x,0x,57
WR,4900,Robinson,6*,0*,12*,0b,5 ,0*,-2*,0*,0 ,3 ,6 ,6 ,8*,0*,1 ,45
WR,6930,Rogers,12 ,0 ,2 ,6 ,0 ,0b,0x,0x,0x,0x,0x,0x,0x,0x,0x,20
WR,4974,Smith,4x,0x,0b,1x,0x,13x,20 ,8*,8*,13 ,-2*,2*,8 ,3 ,8 ,86
WR,6521,Stallworth,8x,6x,-2x,0x,0x,-4 ,6 ,0 ,0 ,0b,0 ,0 ,0 ,0 ,0 ,14
TE,4928,Crumpler,11*,8*,1*,2*,2*,-1*,1*,0b,0 ,1 ,0 ,1*,2*,2*,1 ,31
TE,6563,Jolley,2 ,0 ,2 ,9 ,2 ,1 ,0 ,0b,0x,0x,0x,0x,0x,0x,0x,16
TE,3052,Mili,0x,1x,1x,0b,2x,6x,0x,16 ,1*,1*,2*,2 ,6 ,0 ,2 ,40
K ,1111,Carney,4x,7x,4x,8x,7*,10*,10*,10*,6*,0b,11*,2*,6*,1*,9 ,95
K ,6610,Chandler,18 ,6*,0x,0x,0x,0x,0x,0x,0x,0b,0x,0x,0x,0x,0x,24
K ,6887,Reed,10x,10x,4*,6*,7*,6 ,0b,3 ,11 ,3*,2 ,8x,8x,11x,-1x,88
Off,627,Carolina,3x,10 ,0b,16*,15*,10*,0*,17*,13*,1*,9*,3*,5*,3*,2 ,107
Off,624,Minnesota,7x,12 ,6*,3x,10x,0b,2x,4x,5x,2x,1x,4x,0x,11x,9x,76
Off,628,St. Louis,-2*,0x,6x,8x,0b,8x,6x,4x,-1x,2x,2x,3x,11x,2x,3x,52
DL,5650,Brown,4x,2x,8x,3x,11x,9 ,7*,1*,0b,1*,7*,4*,2*,0*,0 ,59
DL,5661,Ellis,9 ,9*,9*,6*,0b,7*,6*,4*,2*,2*,6*,4*,2*,5*,1 ,72
DL,2768,Glover,3 ,0x,0b,3x,10x,5x,4x,1x,0x,9x,1x,3x,4x,1x,4x,48
DL,2923,Holmes,16x,8x,4x,0b,5*,1 ,6 ,4 ,0*,1 ,0 ,0x,0x,0x,0x,45
DL,3880,Kearse,4*,3*,0 ,6 ,10*,3x,8x,2x,0b,9x,0x,0x,0x,0x,1x,46
DL,2922,Lang,1x,14 ,3*,2*,1x,1x,2x,5x,0b,7x,0x,3x,13x,8x,6x,66
DL,3879,McFarland,8 ,1x,4x,0b,3x,1x,3x,5x,2x,4x,3x,0x,2x,8x,8x,52
LB,2510,Armstead,4x,16x,8x,4x,4 ,10 ,12*,0b,2*,2 ,9 ,3x,4x,12x,6x,96
LB,1904,Biekert,8*,8*,3*,3*,2x,0b,3x,6x,3x,5x,6x,4x,2x,1x,6x,60
LB,2736,Holmes,4x,3x,4x,9x,5x,0b,6 ,6*,3*,4*,6*,0 ,3 ,5 ,4 ,62
LB,5551,Maslowski,2x,5x,4x,9x,5*,7*,4x,9x,0b,4x,6x,0x,0x,0x,0x,55
LB,3937,Porter,0x,0x,4x,4x,3x,4x,0b,11x,3x,6x,1x,1*,8*,3*,2 ,50
LB,3301,Spikes,15*,9*,5*,5*,3*,4*,4*,8*,0b,3*,4*,7*,10*,4*,8 ,89
LB,6938,Suggs,3 ,4 ,8 ,3 ,0b,0x,0x,2x,6x,1x,1x,11x,0x,11x,1x,51
DB,6525,Buchanon,3x,26 ,1*,2x,0x,2x,8x,0b,0x,15x,30x,5x,7x,6x,10x,115
DB,3874,McAlister,4x,2x,0x,4x,0b,25 ,4 ,5*,4*,2 ,2 ,3 ,1 ,2 ,4 ,62
DB,5664,O'Neal,4 ,7*,4*,2*,6x,0x,0x,0x,14x,0b,0x,0x,0x,0x,0x,37
DB,2261,Taylor,2*,0x,0b,0x,0x,0x,5x,0x,0x,0x,0x,0x,3x,6x,2x,18
DB,2679,Tongue,8x,10x,10x,0b,5*,4x,5x,3x,4x,3x,10x,0x,14x,2x,0x,78
DB,6516,Williams,7*,4*,0b,8*,9*,7*,3*,4*,6*,4*,1*,7*,7*,6*,3 ,76
DB,2652,Woods,3x,24x,10x,3x,3x,23x,3*,7 ,0b,6*,2*,4*,6*,5*,8 ,107
,,Starter Points = ,78,137,68,79,93,63,69,88,86,66,73,53,82,80,0
,,Potential Points = ,148,178,78,101,101,86,82,116,91,81,88,72,95,90,62
,,Offensive Points = ,42,97,43,53,56,31,34,60,69,46,47,26,47,57,0
,,Defensive Points = ,36,40,25,26,37,32,35,28,17,20,26,27,35,23,0
,,Total Points For = ,0,67,15,28,24,0,2,32,40,11,18,0,0,39,0

Norsemen
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,3486,Gruden,4*,0*,5*,0B,0*,5*,0*,4*,0*,0*,0*,3*,0*,3*,4*,28
QB,4925,Brees,9 ,4 ,-2 ,11 ,23 ,0b,-4*,-7x,-2x,0x,0x,0x,0x,0x,16x,48
QB,3532,Delhomme,10x,-6x,0b,4x,0x,2x,15x,0x,4x,8x,7 ,4 ,12x,-4x,4x,60
QB,3291,Manning,-3*,4*,11*,41*,18*,8*,0b,21*,7*,14*,14*,3*,22*,2*,34*,196
RB,4982,Barlow,0x,8x,0x,1x,-2x,0x,1x,-2x,4 ,0b,9*,0*,0 ,15*,19*,53
RB,3918,Cloud,0x,0x,0x,0x,13x,6x,0x,0*,0*,0b,0x,0x,12x,0x,0x,31
RB,6526,Duckett,0 ,12 ,0 ,6x,-1x,0x,0x,0b,6x,12x,6x,6x,6x,4x,8x,65
RB,7024,Fargas,0x,0x,0x,0x,0x,0x,0x,0b,0x,0x,-2 ,0 ,0 ,0 ,0 ,-2
RB,3910,Faulk,2x,2x,3x,-2x,0x,3x,-1x,11x,2 ,0b,0 ,16 ,0*,-2 ,0 ,34
RB,7134,Forsey,0x,0x,0b,0x,0x,0x,0x,6x,0x,0x,0x,0x,16 ,0 ,0 ,22
RB,3353,Green,18*,16*,1*,24*,18*,25*,9*,0b,19*,24*,12*,9*,0*,9*,13*,197
RB,6707,Peterson,0 ,0x,0b,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0
RB,2968,Staley,1 ,4 ,0b,0 ,0 ,9 ,0*,0 ,6 ,3*,0 ,4 ,6 ,6 ,0 ,39
RB,3959,Zereoue,6*,0*,3*,11*,6*,0*,0b,0*,0 ,0 ,1 ,0 ,0 ,0 ,0 ,27
WR,3942,Booker,2*,0 ,0b,0 ,9 ,-2*,0 ,0x,0x,0x,1x,0x,7x,12x,0x,29
WR,3413,Bradford,8x,0 ,0 ,0x,0b,13x,0x,0x,0x,7x,0x,0x,0x,0x,0x,28
WR,3896,Johnson,0x,8 ,11 ,3 ,6*,0*,1B,1 ,0 ,0 ,0x,2x,0x,0x,9x,41
WR,5064,McCants,6x,0x,8x,0x,7x,6x,0x,0b,2x,0x,6 ,0 ,0 ,6 ,0 ,41
WR,3309,Moss,20*,0*,2*,33*,15*,0b,15*,20*,10*,19*,0*,1*,20*,23*,15*,193
WR,4907,Moss,0 ,14 ,0*,-2*,0b,6 ,13 ,9*,29*,19*,6*,6*,3*,1*,1*,105
WR,6528,Walker,9 ,0*,0 ,7 ,0x,0x,0x,0b,12x,0x,0x,6x,7x,6x,0x,47
TE,2918,Gonzalez,1*,1*,1 ,7 ,7*,14*,3*,9*,0b,10*,11*,2*,14*,4*,18*,102
TE,6529,Graham,0x,0x,1x,1x,0x,0x,1x,8x,8*,0b,0 ,8 ,0 ,3 ,8 ,38
TE,2946,Jones,9 ,2 ,1*,0*,2x,9x,0b,1x,8x,2x,1x,1x,3x,1x,1x,41
K ,7198,Elling,13x,6x,5x,5 ,9 ,0b,4 ,7*,10x,4x,4x,6x,5x,10x,4x,92
K ,3114,Hall,12*,9*,8*,8*,17*,9*,1*,0b,-1*,9*,5*,11*,10*,9*,0*,107
Off,616,Dallas,6x,2x,0b,13x,2x,5x,7x,0x,15 ,5 ,2*,3*,0*,6*,15*,81
Off,602,Indianapolis,2x,6x,5x,3*,5x,6x,0b,8x,3x,5x,11x,5x,1x,4x,9x,73
