WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
K ,1197,Elam,14*,14*,7*,9*,12*,6*,10*,6*,5*,0b,10 ,4*,2*,10*,13*,122
Off,609,Jacksonville,1x,1x,7x,6*,4x,1x,0b,2x,4x,16x,5x,9x,9x,15x,2x,82
Off,603,Miami,1*,13*,10*,0b,7*,3*,2*,2*,0*,0x,10x,8x,7x,-1x,12x,74
Off,629,New Orleans,1x,4x,0x,8x,11x,9x,10x,1x,5x,0b,9*,13*,16*,-5*,6*,88
DL,6612,Brown,5x,9 ,0b,4 ,8 ,4*,4*,1*,2 ,12 ,6*,4 ,4*,1*,10*,74
DL,2646,Clemons,7x,0x,3x,4x,17 ,0B,1*,2*,2*,3*,0x,0x,9x,4x,2x,54
DL,4003,Dingle,9x,3x,5x,2*,1x,0b,4x,0x,8x,0x,0x,5x,7x,2x,3x,49
DL,3103,Ferguson,4x,2x,6x,6x,0b,15x,3x,4x,5x,3x,3*,3*,0 ,6 ,4 ,64
DL,6533,Grant,11x,4 ,2*,3*,1*,13 ,3 ,11 ,3*,0B,5 ,5*,7*,1*,7*,76
DL,3973,Smith,4*,3*,1*,3x,3x,5x,0b,3x,3x,3x,1x,5x,2x,6x,7x,49
DL,3296,Wistrom,2*,3x,0x,2x,0b,10x,3x,9x,2x,9x,5x,4x,1x,2x,5x,57
LB,2702,Bruschi,3x,24x,5x,7x,8*,11*,7*,4 ,3*,0b,5 ,3 ,9 ,18 ,7 ,114
LB,5679,Bulluck,5*,9*,11*,8*,8*,6*,19 ,5*,0b,10*,13*,4*,8*,10*,15*,131
LB,3322,Cowart,8*,12*,12*,6*,0b,13 ,4*,8*,6*,11*,6*,3*,8*,4*,0*,101
LB,3970,Holdman,15x,8 ,0b,3 ,8x,0x,0x,0x,1x,4x,2x,3x,5x,4x,4x,57
LB,3349,Trotter,7 ,4x,5x,7x,12x,4x,3x,0b,11x,4x,5x,6x,12x,8x,13x,101
DB,4911,Archuleta,9*,6*,6*,1*,0b,8 ,0 ,0 ,0 ,25 ,5*,4 ,14 ,2*,12*,92
DB,6411,Harper,20x,21x,6x,5*,6*,7*,0B,9*,6*,6*,3 ,7*,15*,0*,1*,112
DB,3320,Parrish,2 ,4x,2x,1x,10x,8x,2x,8x,9x,0b,10x,8x,9x,9x,3x,85
DB,3098,Stoutmire,16x,6 ,4*,0b,6*,3*,7*,3*,14*,7*,5*,5*,5*,8 ,2 ,91
DB,2312,Woodson,10 ,2*,0b,3x,5x,3x,3x,7x,11x,4x,5x,5x,3x,9x,7x,77
,,Starter Points = ,82,102,73,122,86,92,51,93,74,76,124,78,129,86,94
,,Potential Points = ,111,115,91,128,158,124,80,106,84,107,149,99,143,127,137
,,Offensive Points = ,54,67,37,97,57,61,28,65,40,39,86,51,82,68,49
,,Defensive Points = ,28,35,36,25,29,31,23,28,34,37,38,27,47,18,45
,,Total Points For = ,26,26,0,70,23,32,0,37,9,6,50,5,63,45,2

Illuminati
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,5648,Haslett,0*,5*,0*,0*,0*,3*,5*,0*,3*,0B,3*,0*,3*,0*,6*,28
QB,1214,Favre,2*,10*,6*,16*,12*,13*,13*,0b,16*,-2 ,4 ,6x,8x,5x,26x,135
QB,1265,Green,6x,2x,3x,4x,10 ,27 ,5 ,16*,0b,25*,17*,9*,6*,18*,25*,173
QB,6511,Harrington,24 ,-6 ,-5 ,12 ,3x,0b,-4x,6x,2x,0x,12x,-1x,-6x,8x,4x,49
RB,6526,Duckett,0x,12x,0x,6*,-1 ,0 ,0 ,0b,6*,12 ,6*,6 ,6*,4*,8*,65
RB,3207,Holmes,27*,24*,21*,4*,3*,16*,17*,22*,0b,24*,3*,21*,24*,16*,26*,248
RB,4964,Jackson,0x,0x,0x,0x,0x,0x,0x,1x,0b,6x,12x,5 ,0 ,0 ,0 ,24
RB,5004,Johnson,0x,0x,0x,0x,7x,0b,0x,11x,6x,26x,11x,2x,0 ,0 ,24 ,87
RB,1621,Smith,1 ,0 ,-2 ,6x,0x,0x,0b,0x,0x,0x,0x,0x,0x,0x,6x,11
RB,3869,Williams,11*,16*,12*,0b,4*,5*,4*,2*,6*,2*,6 ,17*,6x,1x,10x,102
WR,6775,Boerigter,0 ,0 ,0 ,0x,0x,0x,0x,0x,0b,0x,0x,0x,0x,0x,0x,0
WR,6982,Boldin,31 ,4 ,4 ,3 ,0*,5*,0B,0*,8*,15*,3*,23*,0*,15*,5*,116
WR,1095,Bruce,10 ,2 ,8*,0*,0b,5*,11*,1*,3 ,0 ,5 ,12 ,10 ,6*,6*,79
WR,4906,Gardner,1*,16*,6*,0*,0*,5 ,6 ,0b,0*,19*,0*,0*,0*,6 ,0 ,59
WR,6931,Johnson,3 ,2 ,19 ,7 ,0b,0 ,2 ,0 ,0 ,0 ,8 ,6 ,0 ,0 ,0 ,47
WR,2986,Mason,15x,9x,0x,0x,8x,31x,0x,0x,0b,5x,4x,0x,20 ,8 ,12 ,112
WR,5641,Thompson,0*,0*,0 ,0b,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0
TE,3908,Kleinsasser,0x,14x,1x,0*,0x,0b,0x,1x,7x,2x,3x,1x,7x,0x,2x,38
TE,2895,Pollard,-1x,1x,0x,2x,1x,1x,0b,8x,1x,10 ,0 ,0 ,8 ,1 ,1 ,33
TE,6522,Shockey,1*,7*,2*,0b,12*,6*,6*,3*,6*,1*,0 ,0 ,0 ,0 ,0 ,44
TE,1747,Wycheck,0x,0x,0x,0x,0x,0x,0x,0x,0b,1 ,0*,14*,0*,1*,0*,16
K ,1383,Kasay,5x,13x,0b,13*,8*,12*,7*,11*,4*,11*,8*,9*,3*,2*,9*,115
K ,3141,Mare,2*,3*,5*,0b,13x,8x,7x,7x,5x,1x,12x,8x,10x,0x,11x,92
Off,629,New Orleans,1*,4*,0*,8*,11*,9*,10*,1*,5x,0b,9x,13x,16x,-5x,6x,88
Off,618,Philadelphia,3x,-4x,0b,11x,4x,5x,1x,11x,5*,3*,7*,13*,4*,9*,10*,82
DL,4037,Gregg,6*,1*,5*,7*,0b,4*,4*,3*,3*,4*,5*,5*,6*,3*,6*,62
DL,5835,Thomas,4x,3x,1x,2x,0b,1x,0x,3x,3x,1x,4x,4x,5x,11x,0x,42
DL,2952,Wiley,3*,4*,2*,3*,6*,0b,2*,2*,2*,0*,5*,7*,2*,2*,3*,43
DL,6937,Williams,2 ,0 ,2 ,6 ,2x,0b,4x,6x,6x,1x,9x,2x,1x,3x,5x,49
LB,6962,Bailey,4x,3x,3x,2x,5x,0b,3x,10x,7x,8x,1x,4 ,3*,2 ,5 ,60
LB,1916,Brown,8x,9x,4x,0b,8x,13 ,8*,0*,10 ,6 ,5 ,2 ,6 ,7 ,7 ,93
LB,2536,Gildon,4*,2*,8*,3*,3 ,2 ,0b,3 ,6 ,15 ,3*,7*,1 ,3 ,2 ,62
LB,6968,Henderson,0 ,0 ,1 ,3 ,0 ,0b,0x,1x,0x,0x,2x,1x,0x,0x,3x,11
LB,3937,Porter,0 ,0 ,4*,4*,3*,4*,0b,11 ,3*,6*,1 ,1x,8x,3x,2x,50
LB,3305,Simmons,8x,5x,8x,9x,6 ,0b,7*,16*,5*,3*,5*,3*,11*,1*,10*,97
LB,5658,Urlacher,7*,12*,0b,4 ,7*,4*,6 ,7 ,2 ,3 ,5 ,7 ,8 ,3*,6*,81
DB,6933,Newman,5*,13*,0b,5 ,8*,5*,4*,5*,4*,6*,3*,6*,9*,4*,19*,96
DB,6532,Reed,7*,25*,15*,9*,0b,24*,2*,2*,2*,8*,12*,18*,2*,5*,3*,134
DB,4939,Smoot,4 ,3 ,8*,5*,8*,3 ,0 ,0b,6 ,6 ,8 ,1 ,3 ,3 ,4 ,62
,,Starter Points = ,77,142,102,78,82,116,100,84,73,127,80,152,79,89,142
,,Potential Points = ,139,146,115,92,85,130,106,95,88,149,100,168,123,97,168
,,Offensive Points = ,45,85,60,47,50,74,73,56,54,100,47,106,46,71,95
,,Defensive Points = ,32,57,42,31,32,42,27,28,19,27,33,46,33,18,47
,,Total Points For = ,10,61,24,8,13,23,30,22,12,67,10,79,0,34,50

Green Wave
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,1705,Wannstedt,0*,4*,4*,0B,4*,4*,0*,4*,0*,0*,3*,3*,4*,0*,0 ,30
QB,3995,Brooks,4 ,12 ,5*,-8 ,3 ,12 ,25 ,8*,4 ,0b,-1 ,6x,18x,0x,33x,121
QB,3866,McNabb,-3*,-8*,0b,1*,2*,2*,-6*,4 ,12*,13*,17*,11*,4*,21*,7 ,77
QB,1653,Testaverde,0x,11x,7 ,1 ,0b,18 ,4x,6x,0x,0x,0x,0x,0x,0x,0x,47
RB,2944,Dillon,0 ,9 ,0 ,0 ,0 ,0b,6 ,0*,0*,0 ,0 ,5 ,0 ,0 ,0 ,20
RB,2917,Dunn,6*,3*,0*,0*,7*,0*,9*,0b,1*,17*,12*,19 ,0 ,0 ,0 ,74
RB,1213,Faulk,3*,9*,0*,0 ,0b,0 ,0 ,0 ,0 ,12*,6*,14*,26*,10*,9 ,89
RB,3991,Gary,0 ,0 ,0x,0x,7x,0b,0x,0x,4x,0x,0x,0x,0x,0x,0x,11
RB,2644,George,0x,0x,10x,0x,0x,2x,0x,16x,0b,6x,1x,12*,1*,0*,0 ,48
RB,2927,Smith,0x,0x,0 ,1*,10*,0*,0*,0*,2 ,0b,6 ,0 ,0 ,0 ,4 ,23
WR,3935,Bates,6x,0x,0x,0*,0 ,0b,0 ,0*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6
WR,1093,Brown,7x,0 ,0x,13x,0x,0x,0x,0b,2x,0x,0x,3x,0x,0x,0x,25
WR,1145,Conway,0 ,3 ,2 ,0 ,0b,0x,0x,0x,0x,0x,6x,0x,8x,0x,0x,19
WR,5729,Jackson,0 ,19*,6*,0b,0*,1*,0*,3 ,9*,0*,0*,23 ,20*,2*,11 ,94
WR,5696,Porter,0*,0 ,0 ,0 ,0 ,0 ,0 ,0b,0 ,6*,0 ,6*,-2 ,0 ,0 ,10
WR,1844,Smith,1*,2*,0*,1*,18*,9*,0*,0*,0*,0b,20*,13*,0*,8*,0 ,72
TE,1825,Brady,0*,2*,1*,0*,0*,1*,0b,1*,-2*,1 ,1*,0*,5*,0*,1 ,11
TE,1827,Fauria,0 ,13 ,1 ,1x,1x,0x,1x,0x,1x,0b,1x,0x,2x,0x,0x,21
TE,3908,Kleinsasser,0x,14x,1x,0x,0x,0b,0*,1 ,7 ,2*,3 ,1 ,7 ,0 ,2 ,38
K ,1009,Andersen,11x,4x,6x,6x,6x,10x,5x,9*,0b,11 ,7*,10*,4*,3*,9 ,101
K ,3143,Longwell,5*,8*,9*,8*,5*,13*,6*,0b,13*,2*,8 ,8 ,2 ,15 ,8 ,110
Off,631,Baltimore,2x,27x,9 ,12*,0b,14 ,3*,8*,7*,1*,2 ,4 ,6 ,17 ,5 ,117
Off,611,Denver,13*,13*,13x,0x,14x,1x,4x,2x,8x,0b,13x,12x,12x,28x,9x,142
Off,602,Indianapolis,2x,6x,5x,3x,5*,6*,0b,8 ,3 ,5 ,11*,5*,1*,4*,9 ,73
DL,4017,Coleman,6 ,0*,5 ,4*,4 ,1 ,6*,0b,2 ,3 ,4 ,6 ,5 ,3 ,10 ,59
DL,1982,Douglas,7*,2*,0*,2*,2*,4*,0b,2*,0*,0*,10*,4*,1*,2*,0 ,36
DL,2210,Sapp,0*,2 ,13*,0b,3*,7*,4*,4*,2*,3*,2*,15*,1*,10*,0 ,66
LB,2911,Boulware,4*,2*,1 ,1 ,0b,3 ,1*,15*,10*,7*,3*,9*,2*,15*,3 ,76
LB,2711,Edwards,9*,3*,8*,11*,9*,0B,11*,13*,9*,5 ,13*,13*,8*,8*,5 ,125
LB,3466,Wayne,4 ,7 ,0B,2*,3*,8*,10 ,1 ,9 ,15*,2 ,11 ,11 ,1 ,2 ,86
DB,4912,Clements,8x,4x,25x,2*,7 ,2 ,3 ,2x,0b,6x,3x,4x,1x,3x,4x,74
DB,2020,Glenn,4*,4*,5 ,1*,0b,0 ,0*,2*,7*,7*,3*,7*,2*,3*,0 ,45
DB,3328,Kelly,7*,13*,1*,0b,1*,0*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22
DB,2123,Marion,4 ,4 ,6*,0b,9*,6*,5*,4*,3*,3*,2*,9*,5*,9*,6 ,75
,,Starter Points = ,56,76,66,45,78,61,39,70,71,88,110,131,84,95,0
,,Potential Points = ,69,121,78,45,87,90,88,73,84,104,115,160,104,121,75
,,Offensive Points = ,25,52,38,23,51,36,12,30,40,53,77,74,65,48,0
,,Defensive Points = ,31,24,28,22,27,25,27,40,31,35,33,57,19,47,0
,,Total Points For = ,0,0,11,0,15,0,0,0,6,33,41,31,18,0,0

War Eagles
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,3622,Reid,0*,0*,0B,4*,3*,0*,3*,3*,3*,3*,4*,4*,3*,5*,3*,38
QB,3995,Brooks,4x,12x,5x,-8x,3x,12x,25x,8x,4x,0b,-1x,6*,18*,0*,33*,121
QB,1756,Collins,-3 ,15 ,19 ,0b,-2*,-3*,3 ,18 ,19 ,-5 ,7 ,-10 ,4 ,-2 ,0 ,60
QB,3875,Culpepper,16*,8*,12*,0 ,0 ,0b,16*,10*,19*,31*,12*,-2x,9x,20x,6x,157
RB,7021,Brown,0x,0x,0x,0x,0x,0x,0x,0 ,0b,0 ,0 ,0 ,0 ,0 ,0 ,0
RB,5027,Buckhalter,0 ,0 ,0b,4 ,0 ,6 ,-2x,14x,5*,0*,6 ,6 ,0 ,14 ,6 ,59
RB,2644,George,0*,0*,10*,0 ,0*,2 ,0 ,16 ,0b,6 ,1 ,12x,1x,0x,0x,48
RB,6592,Gordon,0x,0x,0 ,6*,0b,3*,0*,0x,0x,0x,0x,0x,0x,0x,0x,9
RB,7250,Harris,0x,-2x,-2x,0x,0b,0x,6x,21 ,0x,0x,0x,0x,0x,0x,0x,23
RB,4954,Henry,16x,18x,0x,0x,13x,5x,24x,6x,0b,0*,7*,3 ,11 ,15 ,4 ,122
RB,4943,Jordan,6x,1x,0x,0x,0b,0x,6x,6x,0x,7x,0x,0 ,0 ,0 ,0 ,26
RB,4914,McAllister,11*,11*,0*,12*,12*,5*,17*,5*,6 ,0b,30*,29*,13*,2*,12*,165
RB,5805,Morris,0x,0x,0x,0x,0x,0x,0x,0x,0b,0x,0 ,6 ,0x,0x,0x,6
RB,6559,Portis,22x,6x,0x,0x,19x,0x,16x,7x,13x,0b,5x,12*,25*,49*,20*,194
RB,6456,Shipp,0x,0x,0x,0x,0 ,5 ,0b,10*,8x,6x,-2x,3x,0x,0x,0x,30
RB,4932,Thomas,0 ,0 ,0b,11x,6 ,1 ,0 ,0 ,17x,0x,9x,0x,0x,0x,8x,52
WR,3942,Booker,2x,0x,0b,0x,9x,-2x,0x,0x,0x,0x,1x,0x,7 ,12 ,0*,29
WR,3872,Boston,0 ,0 ,5*,0 ,33*,0b,0*,3*,0*,11*,0*,24*,9*,0*,0*,85
WR,4077,Driver,0*,0 ,0 ,0*,10 ,3*,0 ,0b,1 ,0 ,0 ,0x,0x,0x,15x,29
WR,4935,Ferguson,2x,6x,0x,0x,0x,0x,0x,0b,0x,0x,0x,6x,0 ,4 ,12 ,30
WR,3336,Jurevicius,12x,0x,0x,0b,0x,0x,0x,0x,0x,0x,0x,0 ,0x,0x,0x,12
WR,6527,Lelie,0 ,0*,11 ,8*,0 ,0 ,0 ,0 ,0 ,0b,1 ,0*,0 ,0 ,1 ,21
WR,4926,Morgan,0x,0x,0x,9x,0x,0x,0x,0 ,0b,0x,12x,0x,0x,6x,0x,27
WR,2656,Toomer,3*,15*,8*,0b,0*,0*,0*,3*,14*,0*,2*,0 ,11x,0x,0x,56
TE,5676,Becht,1 ,1 ,-1 ,0x,0b,13x,1x,1x,8x,2x,0x,2x,0x,0x,1x,29
TE,6622,McMichael,0*,7*,2*,0b,1*,7*,8*,7*,5*,1*,0*,1*,1*,0 ,6 ,46
TE,6437,Williams,0x,0x,0x,0x,0x,1x,8x,1x,0x,0b,0x,16x,7 ,8*,2*,43
K ,2842,Vinatieri,0 ,7 ,12*,5 ,9x,5x,7x,9x,14x,0b,5x,11x,9x,4x,9x,106
K ,1873,Wilkins,7*,9*,11 ,15*,0b,10*,11*,9*,4*,18*,13*,13*,14*,14*,10*,158
Off,624,Minnesota,7x,12x,6x,3 ,10*,0b,2*,4x,5*,2*,1x,4x,0x,11x,9x,76
Off,630,San Fran,14*,8*,1*,5*,7 ,4*,15 ,3*,9 ,0b,13*,0*,6*,19*,13*,117
DL,5662,Abraham,13*,5*,2*,5*,0b,0 ,2*,13*,0 ,0 ,0 ,0*,0 ,0 ,0x,40
DL,6519,Freeney,1*,4 ,0 ,11 ,2*,10*,0b,5*,18*,3*,2*,5*,5*,4*,2*,72
DL,3894,Kerney,5 ,3*,0*,1x,4x,1x,0x,0b,1x,8x,7x,4x,8x,4x,9x,55
DL,2140,McGinest,3x,13x,5x,6 ,0*,3*,0*,1 ,4*,0b,6 ,7 ,3x,4x,3x,58
DL,5961,Ogunleye,0x,3x,8x,0b,1x,17x,3x,6x,7 ,0*,6*,3x,10*,8*,2*,74
LB,1900,Barrow,12x,17x,5 ,0b,3x,8x,10x,4x,10x,3x,5x,12x,9x,7x,9*,114
LB,3300,Brooking,3*,8*,8*,4*,7*,11*,1 ,0b,5x,8x,11x,12x,9x,9x,11x,107
LB,3873,Claiborne,12x,7x,5x,11 ,13*,0b,15*,5*,3*,6*,2*,3*,0x,3x,0x,85
LB,4020,Foreman,7x,11x,6x,12 ,0b,4*,1*,8 ,4*,6 ,5 ,17 ,7*,7*,6*,101
LB,6651,Fujita,5x,4x,9x,8x,5x,13x,13 ,9*,0b,8*,4*,10*,9*,3*,7 ,107
LB,4902,Morgan,4 ,0 ,0b,0x,6x,8x,1x,7x,0x,3x,7x,7x,1x,0x,0x,44
LB,3949,Nguyen,4x,7x,0b,7x,5x,5x,13x,12x,7x,9x,12x,5x,5 ,4 ,10 ,105
LB,3900,Peterson,5*,6 ,3*,9x,4x,3x,0b,3x,10x,6x,4x,13x,9x,8x,10x,93
LB,6619,Taylor,11x,4*,7 ,3x,5x,9x,5x,16x,0b,3x,0x,0x,0x,0x,0x,63
LB,4941,Winborn,5 ,3x,8x,4x,0x,6x,8x,8x,5x,0b,0x,0x,0x,0x,0x,47
DB,6970,Hamlin,7x,15x,6x,0b,7*,7 ,7*,6 ,1*,8*,5 ,5x,2x,9x,5x,90
DB,2337,Harrison,6*,7*,3*,6*,9 ,15*,16*,4*,6*,0b,6*,11*,0*,13*,9*,111
DB,3977,Jackson,3x,2x,13x,19x,5*,5*,0b,5*,12 ,4*,9*,3 ,5*,2*,11 ,98
DB,3390,Schulters,7*,3*,4*,2*,6x,6x,1x,2x,0b,2x,7x,5x,5x,10x,6x,66
DB,2669,Thomas,3 ,5 ,7x,4x,9x,15x,9x,8x,14x,0b,12x,1*,10 ,4 ,18*,119
,,Starter Points = ,86,88,70,72,91,77,98,94,91,95,110,119,136,134,139
,,Potential Points = ,93,100,87,86,113,82,111,129,113,101,118,142,152,150,162
,,Offensive Points = ,51,58,50,48,57,29,57,53,55,66,81,89,100,97,93
,,Defensive Points = ,35,30,20,24,34,48,41,41,36,29,29,30,36,37,46
,,Total Points For = ,19,16,25,26,28,0,30,13,19,34,55,40,66,59,64

Freezer Burn
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,1746,Dungy,3x,5x,4x,6x,3x,0x,0b,3 ,3*,0*,3*,3*,0*,3*,6*,42
HC,1560,Reeves,0*,0*,0*,0*,0*,0*,0*,0x,0x,0x,0x,0x,0x,0x,0x,0
QB,1064,Bledsoe,6x,17x,-4x,14x,5x,-3 ,5 ,-10 ,0b,-4x,-2x,4x,13x,2x,10x,53
QB,5817,Bulger,0 ,10 ,8 ,19 ,0b,21*,17*,14*,8*,-4*,10*,2*,12*,6*,12 ,135
QB,3250,Holcomb,-4 ,2x,11x,0x,0x,0x,12x,-4x,0b,4x,24x,-4x,-4x,0x,0x,37
QB,1434,Maddox,19 ,6*,6*,0*,-6*,-2 ,0b,6 ,8 ,18 ,10 ,6 ,9 ,7 ,0 ,87
QB,4891,Vick,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0b,0 ,0 ,0 ,0 ,0 ,7 ,-4*,3
RB,1054,Bettis,0 ,0x,6x,0x,6x,6x,0b,-2x,0x,-2x,6x,4x,6x,8x,1x,39
RB,6542,Foster,0x,0x,0b,-2x,0x,7 ,-2 ,0 ,0 ,0*,0 ,0 ,0 ,0 ,6 ,9
RB,6524,Green,2*,-2*,0 ,-2*,6 ,12*,-2*,0*,0b,0 ,0 ,0 ,0 ,0 ,0 ,14
RB,5004,Johnson,0x,0x,0x,0x,7x,0b,0x,11x,6 ,26 ,11 ,2 ,0x,0x,24x,87
RB,5541,Mack,3 ,0 ,2 ,4 ,0b,0*,12 ,0 ,6x,0x,0x,0x,0x,0x,0x,27
RB,6456,Shipp,0 ,0x,0x,0x,0x,5x,0b,10x,8x,6x,-2x,3x,0x,0x,0x,30
RB,4895,Tomlinson,1*,7*,19*,32*,-2*,0b,22*,21*,8*,28*,0*,14*,13*,34*,30*,227
RB,2692,Williams,2 ,15 ,10*,0 ,14*,0b,7 ,2 ,2 ,30 ,7*,1*,9 ,0 ,0 ,99
RB,3869,Williams,11x,16x,12x,0b,4x,5x,4x,2x,6x,2x,6x,17x,6*,1*,10*,102
WR,2986,Mason,15 ,9*,0*,0*,8*,31 ,0*,0*,0b,5*,4 ,0 ,20x,8x,12x,112
WR,1455,McCardell,0x,7x,0x,0b,22 ,2*,11 ,2 ,8*,16*,7*,5*,5*,4 ,1*,90
WR,2705,Owens,8*,7*,7*,1*,8*,0*,17*,2*,6*,0b,19*,7*,0*,18*,16*,116
WR,3917,Price,0*,0 ,2 ,1 ,24 ,0 ,0 ,0b,4 ,0 ,0 ,9 ,0 ,0 ,0 ,40
WR,2995,Robinson,0x,0x,0x,0x,0b,0x,0x,0x,0x,0x,0x,34x,7 ,6*,0 ,47
TE,1827,Fauria,0x,13x,1x,1 ,1x,0x,1x,0x,1x,0b,1x,0x,2x,0x,0x,21
TE,4924,Heap,5*,0*,8*,2*,0b,0*,11*,1*,9*,3*,4*,0*,2*,0*,12*,57
K ,3579,Akers,0*,6*,0b,11 ,11*,3*,2*,6*,12*,5*,4*,17*,14*,10*,12*,113
K ,1641,Stover,1x,13 ,7*,4x,0b,14x,4x,14x,10x,12x,7x,16x,16x,7x,6x,131
Off,601,Buffalo,4x,8 ,0*,2x,1x,-5x,14x,4x,0b,1x,9x,5x,7x,13x,0x,63
Off,611,Denver,13x,13x,13x,0*,14*,1*,4*,2*,8*,0b,13*,12*,12*,28*,9*,142
Off,618,Philadelphia,3*,-4*,0b,11x,4x,5x,1x,11x,5x,3x,7x,13x,4x,9x,10x,82
Off,625,Tampa Bay,5x,2x,8 ,0b,9x,7x,1x,4x,0 ,0*,6 ,2x,2x,3x,13x,62
DL,6517,Henderson,4 ,3 ,4*,9*,1 ,8 ,0b,0 ,1 ,4 ,9 ,0 ,4 ,6 ,10 ,63
DL,2635,Rice,9*,14*,3*,0b,3*,21*,7*,3*,8*,11*,2*,6*,3*,15*,2*,107
DL,3902,Rucker,11*,5*,0b,9*,4*,3*,9*,9*,8*,4*,3*,3*,13*,5*,0*,86
LB,1900,Barrow,12x,17x,5x,0b,3*,8x,10x,4x,10x,3x,5x,12x,9x,7x,9x,114
LB,3549,Fletcher,7*,4*,3*,7*,6*,8*,6*,5*,0b,8*,6*,15*,6*,10*,6*,97
LB,5033,Hartwell,6 ,4 ,4 ,5 ,0b,8 ,9 ,4 ,5*,4 ,5 ,3 ,11 ,2 ,4 ,74
LB,3154,McKinnon,3x,7x,0x,8 ,9x,7x,0b,6x,4x,7x,2x,10x,12x,6x,3x,84
LB,2937,Sharper,4*,9*,4*,5*,0b,9*,9*,4*,2*,9*,14*,14*,9*,9*,15*,116
DB,4959,Baxter,5x,6x,14x,7x,0b,5x,3x,12x,6 ,2*,4x,6x,8x,3x,6x,87
DB,3905,Bly,23*,6*,13*,9*,10*,0b,14*,3*,0*,0*,2*,11*,16*,4*,3*,114
DB,2681,Dawkins,6*,0 ,0b,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0*,1 ,3 ,12 ,29
DB,5902,Green,8x,4x,0b,15x,3 ,4x,4x,0x,0x,3x,2x,0x,0x,2x,0x,45
DB,6513,Jammer,9 ,4*,3*,4 ,3x,0b,6x,5x,1x,6x,13x,3x,15x,5x,4x,81
DB,3320,Parrish,2x,4x,2x,1x,10x,8x,2x,8x,9x,0b,10*,8 ,9*,9*,3*,85
DB,5673,Plummer,26x,6 ,8 ,0x,10*,5*,9*,2*,8x,0b,12x,3 ,9 ,4 ,1 ,103
,,Starter Points = ,83,71,87,76,83,89,125,72,95,87,104,110,120,158,121
,,Potential Points = ,124,92,97,113,127,125,153,76,95,139,127,127,136,160,156
,,Offensive Points = ,23,29,57,37,47,39,71,46,64,53,67,61,64,106,92
,,Defensive Points = ,60,42,30,39,36,50,54,26,31,34,37,49,56,52,29
,,Total Points For = ,0,0,30,6,23,14,48,8,28,13,34,31,39,71,46

MeggaMen
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,5646,Belichick,0x,5x,3x,0x,3x,4x,3x,3x,3 ,0B,4*,3*,3*,4*,4 ,42
HC,6497,Spurrier,3*,3*,0*,3*,0*,0*,0*,0B,0x,3x,0x,0x,0x,4x,0x,16
QB,1265,Green,6 ,2 ,3 ,4x,10x,27x,5x,16x,0b,25x,17x,9x,6x,18x,25x,173
QB,3445,Hasselbeck,10*,18*,12*,0b,0 ,5*,6*,19*,7*,6*,11*,35 ,22*,-3*,6 ,154
QB,6540,Ramsey,3 ,15 ,19 ,0*,12*,1 ,0 ,0b,14 ,10 ,8 ,0 ,0x,0x,0x,82
QB,5861,Rattay,0x,0x,0x,6x,0x,0x,0x,0x,18x,0b,15x,4*,0x,0x,0x,43
RB,2657,Alstott,1x,0x,12 ,0b,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,0x,13
RB,1054,Bettis,0x,0x,6 ,0x,6x,6x,0b,-2x,0x,-2x,6x,4x,6x,8x,1x,39
RB,5680,Canidate,0 ,2 ,0 ,1 ,0 ,0 ,0x,0b,0x,6x,0x,8x,4x,0x,0x,21
RB,7029,Davis,0x,0x,0x,1x,0b,9x,18*,20 ,1*,11 ,4*,1 ,16*,0 ,0 ,81
RB,4954,Henry,16*,18*,0*,0*,13*,5*,24*,6*,0b,0x,7x,3x,11x,15x,4x,122
RB,4943,Jordan,6 ,1x,0x,0x,0b,0x,6x,6x,0x,7x,0x,0x,0x,0x,0x,26
RB,6456,Shipp,0x,0x,0x,0x,0x,5x,0b,10x,8*,6*,-2*,3 ,0 ,0*,0 ,30
RB,7033,Smith,0x,0x,0x,6 ,4 ,0b,6 ,0 ,0x,0x,0x,0x,0x,-2x,9x,23
RB,3298,Taylor,7*,3*,5*,7*,22*,3*,0b,0 ,6 ,21 ,0 ,3*,7 ,14*,2 ,100
RB,4932,Thomas,0x,0x,0b,11x,6x,1x,0x,0x,17 ,0*,9 ,0 ,0*,0 ,8 ,52
RB,6599,Westbrook,0x,-2x,0b,10x,7 ,6 ,19 ,0*,0 ,0 ,23 ,9*,2 ,5 ,16 ,95
