WMFFL Scoring Breakdown for 2003 Week #5
Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,4
QB,3866,McNabb,2
RB,2917,Dunn,7
RB,2927,Smith,10
WR,5729,Jackson,0
WR,1844,Smith,18
TE,1825,Brady,0
K ,3143,Longwell,5
Off,602,Indianapolis,5
DL,1982,Douglas,2
DL,2210,Sapp,3
LB,2711,Edwards,9
LB,3466,Wayne,3
DB,3328,Kelly,1
DB,2123,Marion,9

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,0
QB,3291,Manning,18
RB,3353,Green,18
RB,3959,Zereoue,6
WR,3896,Johnson,6
WR,3309,Moss,15
TE,2918,Gonzalez,7
K ,3114,Hall,17
Off,615,Seattle,5
DL,4938,Jenkins,3
DL,6510,Peppers,2
LB,6597,Ayodele,3
LB,6957,Barnett,13
DB,5734,Wesley,4
DB,6553,Williams,9

Freezer Burn
Pos,ID,Player,Pts
HC,1560,Reeves,0
QB,1434,Maddox,-6
RB,4895,Tomlinson,-2
RB,2692,Williams,14
WR,2986,Mason,8
WR,2705,Owens,8
TE,1827,Fauria,1
K ,3579,Akers,11
Off,611,Denver,14
DL,2635,Rice,3
DL,3902,Rucker,4
LB,1900,Barrow,3
LB,3549,Fletcher,6
DB,3905,Bly,10
DB,6513,Jammer,3

MeggaMen
Pos,ID,Player,Pts
HC,6497,Spurrier,0
QB,6540,Ramsey,12
RB,4954,Henry,13
RB,3298,Taylor,22
WR,5657,Burress,0
WR,2650,Moulds,8
TE,4043,Clark,-1
K ,5666,Janikowski,15
Off,623,Green Bay,11
DL,4897,Carter,2
DL,5798,Gbaja-Biamila,2
LB,5651,Arrington,5
LB,1914,Brooks,5
DB,3176,Knight,5
DB,1740,Woodson,5

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,0
QB,1755,McNair,21
RB,2714,Davis,14
RB,3868,James,0
WR,3367,Ward,0
WR,5653,Warrick,2
TE,5663,Franks,1
K ,1197,Elam,12
Off,603,Miami,7
DL,4003,Dingle,1
DL,6533,Grant,1
LB,2702,Bruschi,8
LB,5679,Bulluck,8
DB,6411,Harper,6
DB,3098,Stoutmire,6

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,3
QB,1756,Collins,-2
RB,2644,George,0
RB,4914,McAllister,12
WR,3872,Boston,33
WR,2656,Toomer,0
TE,6622,McMichael,1
K ,2842,Vinatieri,9
Off,624,Minnesota,10
DL,6519,Freeney,2
DL,2140,McGinest,0
LB,3300,Brooking,7
LB,3873,Claiborne,13
DB,6970,Hamlin,7
DB,3977,Jackson,5

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,0
QB,1064,Bledsoe,5
RB,3950,Bryson,0
RB,6559,Portis,19
WR,4946,Chambers,0
WR,5727,Coles,1
TE,4928,Crumpler,2
K ,6887,Reed,7
Off,627,Carolina,15
DL,2923,Holmes,5
DL,3880,Kearse,10
LB,5551,Maslowski,5
LB,3301,Spikes,3
DB,2679,Tongue,5
DB,6516,Williams,9

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,0
QB,1214,Favre,12
RB,3207,Holmes,3
RB,3869,Williams,4
WR,6982,Boldin,0
WR,4906,Gardner,0
TE,6522,Shockey,12
K ,1383,Kasay,8
Off,629,New Orleans,11
DL,2952,Wiley,6
DL,6937,Williams,2
LB,3937,Porter,3
LB,5658,Urlacher,7
DB,6933,Newman,8
DB,4939,Smoot,8

Werewolves
Pos,ID,Player,Pts
HC,1392,Vermeil,3
QB,5429,Garcia,16
RB,5668,Alexander,9
RB,1237,Garner,3
WR,2913,Hilliard,3
WR,4929,Johnson,2
TE,2680,Conwell,2
K ,6776,Cundiff,8
Off,614,San Diego,0
DL,2977,Berry,1
DL,2333,Strahan,11
LB,5747,Diggs,1
LB,6614,Thornton,10
DB,2928,Scott,5
DB,2960,Sharper,10

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,4
QB,1234,Gannon,-4
RB,4867,Hambrick,-2
RB,1294,Hearst,2
WR,1795,Galloway,0
WR,3429,Shaw,0
TE,1605,Sharpe,1
K ,4883,Feely,8
Off,612,Kansas City,9
DL,3527,Hicks,2
DL,2932,Pryce,0
LB,5826,Jones,4
LB,2758,Thomas,7
DB,3312,Darius,5
DB,2956,Minter,4

