WMFFL Scoring Breakdown for 2003 Week #2
Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,5
QB,1214,Favre,10
RB,3207,Holmes,24
RB,3869,Williams,16
WR,4906,Gardner,16
WR,5641,Thompson,0
TE,6522,Shockey,7
K ,3141,Mare,3
Off,629,New Orleans,4
DL,4037,Gregg,1
DL,2952,Wiley,4
LB,2536,Gildon,2
LB,5658,Urlacher,12
DB,6933,Newman,13
DB,6532,Reed,25

Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,4
QB,3866,McNabb,-8
RB,2917,Dunn,3
RB,1213,Faulk,9
WR,5729,Jackson,19
WR,1844,Smith,2
TE,1825,Brady,2
K ,3143,Longwell,8
Off,611,Denver,13
DL,4017,Coleman,0
DL,1982,Douglas,2
LB,2911,Boulware,2
LB,2711,Edwards,3
DB,2020,Glenn,4
DB,3328,Kelly,13

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,0
QB,3875,Culpepper,8
RB,2644,George,0
RB,4914,McAllister,11
WR,6527,Lelie,0
WR,2656,Toomer,15
TE,6622,McMichael,7
K ,1873,Wilkins,9
Off,630,San Fran,8
DL,5662,Abraham,5
DL,3894,Kerney,3
LB,3300,Brooking,8
LB,6619,Taylor,4
DB,2337,Harrison,7
DB,3390,Schulters,3

Freezer Burn
Pos,ID,Player,Pts
HC,1560,Reeves,0
QB,1434,Maddox,6
RB,6524,Green,-2
RB,4895,Tomlinson,7
WR,2986,Mason,9
WR,2705,Owens,7
TE,4924,Heap,0
K ,3579,Akers,6
Off,618,Philadelphia,-4
DL,2635,Rice,14
DL,3902,Rucker,5
LB,3549,Fletcher,4
LB,2937,Sharper,9
DB,3905,Bly,6
DB,6513,Jammer,4

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,5
QB,1755,McNair,2
RB,3868,James,12
RB,1778,Martin,0
WR,2649,Harrison,6
WR,3367,Ward,14
TE,5663,Franks,1
K ,1197,Elam,14
Off,603,Miami,13
DL,3973,Smith,3
LB,5679,Bulluck,9
LB,3322,Cowart,12
DB,4911,Archuleta,6
DB,2312,Woodson,2

Werewolves
Pos,ID,Player,Pts
HC,5647,Martz,3
QB,5429,Garcia,12
RB,5668,Alexander,6
RB,1237,Garner,5
WR,3870,Holt,8
WR,2633,Johnson,9
TE,4082,Miller,1
K ,3944,Gramatica,3
Off,614,San Diego,8
DL,2333,Strahan,1
DL,2969,Taylor,1
LB,4010,Barton,8
LB,5747,Diggs,10
DB,2928,Scott,16
DB,2960,Sharper,5

MeggaMen
Pos,ID,Player,Pts
HC,6497,Spurrier,3
QB,3445,Hasselbeck,18
RB,4954,Henry,18
RB,3298,Taylor,3
WR,5657,Burress,14
WR,2650,Moulds,16
TE,2895,Pollard,1
K ,5666,Janikowski,12
Off,608,Tennessee,-1
DL,4897,Carter,3
DL,3344,Little,4
LB,5651,Arrington,9
LB,1914,Brooks,4
DB,2965,Barber,4
DB,3176,Knight,6

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,0
QB,1064,Bledsoe,17
RB,5654,Lewis,35
RB,6559,Portis,6
WR,5727,Coles,25
WR,4900,Robinson,0
TE,4928,Crumpler,8
K ,6610,Chandler,6
DL,5661,Ellis,9
DL,3880,Kearse,3
LB,1904,Biekert,8
LB,3301,Spikes,9
DB,5664,O'Neal,7
DB,6516,Williams,4

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,4
QB,1234,Gannon,0
RB,2938,Barber,0
RB,1294,Hearst,4
WR,1094,Brown,3
WR,2745,Horn,11
TE,1605,Sharpe,8
K ,4883,Feely,7
Off,612,Kansas City,11
DL,3527,Hicks,4
DL,2932,Pryce,1
LB,2651,Lewis,13
LB,2758,Thomas,8
DB,3312,Darius,3
DB,2956,Minter,3

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,0
QB,3291,Manning,4
RB,3353,Green,16
RB,3959,Zereoue,0
WR,3309,Moss,0
WR,6528,Walker,0
TE,2918,Gonzalez,1
K ,3114,Hall,9
Off,615,Seattle,8
DL,4938,Jenkins,3
DL,6510,Peppers,0
LB,3975,Colvin,1
LB,5665,Peterson,12
DB,5734,Wesley,9
DB,6553,Williams,1

