WMFFL Scoring Breakdown for 2003 Week #13
War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,3
QB,3995,Brooks,18
RB,4914,McAllister,13
RB,6559,Portis,25
WR,3872,Boston,9
WR,2656,Toomer,11
TE,6622,McMichael,1
K ,1873,Wilkins,14
Off,630,San Fran,6
DL,6519,Freeney,5
DL,2140,McGinest,3
LB,4020,Foreman,7
LB,6651,Fujita,9
DB,2337,Harrison,0
DB,3977,Jackson,5

Werewolves
Pos,ID,Player,Pts
HC,1392,Vermeil,3
QB,3196,Kitna,22
RB,5668,Alexander,13
RB,3369,Pittman,0
WR,3870,Holt,8
WR,4929,Johnson,13
TE,4043,Clark,1
K ,1641,Stover,16
Off,614,San Diego,9
DL,4770,Hall,2
DL,2333,Strahan,5
LB,6649,Davis,15
LB,6614,Thornton,9
DB,3318,Chavous,3
DB,2960,Sharper,0

Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,4
QB,3866,McNabb,4
RB,1213,Faulk,26
RB,2644,George,1
WR,5729,Jackson,20
WR,1844,Smith,0
TE,1825,Brady,5
K ,1009,Andersen,4
Off,602,Indianapolis,1
DL,1982,Douglas,1
DL,2210,Sapp,1
LB,2911,Boulware,2
LB,2711,Edwards,8
DB,2020,Glenn,2
DB,2123,Marion,5

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,4
QB,4947,Carter,10
RB,2714,Davis,5
RB,3868,James,11
WR,2649,Harrison,11
WR,3367,Ward,23
TE,5676,Becht,0
K ,1197,Elam,2
Off,629,New Orleans,16
DL,6612,Brown,4
DL,6533,Grant,7
LB,5679,Bulluck,8
LB,3322,Cowart,8
DB,6411,Harper,15
DB,3098,Stoutmire,5

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,0
QB,3291,Manning,22
RB,3910,Faulk,0
RB,3353,Green,0
WR,3309,Moss,20
WR,4907,Moss,3
TE,2918,Gonzalez,14
K ,3114,Hall,10
Off,616,Dallas,0
DL,3331,Mixon,4
DL,6510,Peppers,2
LB,6957,Barnett,0
LB,5665,Peterson,0
DB,6986,Doss,8
DB,5734,Wesley,11

Freezer Burn
Pos,ID,Player,Pts
HC,1746,Dungy,0
QB,5817,Bulger,12
RB,4895,Tomlinson,13
RB,3869,Williams,6
WR,1455,McCardell,5
WR,2705,Owens,0
TE,4924,Heap,2
K ,3579,Akers,14
Off,611,Denver,12
DL,2635,Rice,3
DL,3902,Rucker,13
LB,3549,Fletcher,6
LB,2937,Sharper,9
DB,3905,Bly,16
DB,3320,Parrish,9

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,0
QB,1349,Johnson,-2
RB,2938,Barber,0
RB,1294,Hearst,0
WR,1094,Brown,0
WR,2745,Horn,0
TE,1605,Sharpe,7
K ,3561,Vanderjagt,11
Off,612,Kansas City,14
DL,3297,Ellis,1
DL,2932,Pryce,0
LB,2651,Lewis,29
LB,2758,Thomas,12
DB,3312,Darius,5
DB,2956,Minter,6

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,0
QB,3875,Culpepper,9
RB,4920,Bennett,6
RB,5654,Lewis,7
WR,5727,Coles,4
WR,4900,Robinson,8
TE,4928,Crumpler,2
K ,1111,Carney,6
Off,627,Carolina,5
DL,5650,Brown,2
DL,5661,Ellis,2
LB,3937,Porter,8
LB,3301,Spikes,10
DB,6516,Williams,7
DB,2652,Woods,6

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,3
QB,1265,Green,6
RB,6526,Duckett,6
RB,3207,Holmes,24
WR,6982,Boldin,0
WR,4906,Gardner,0
TE,1747,Wycheck,0
K ,1383,Kasay,3
Off,618,Philadelphia,4
DL,4037,Gregg,6
DL,2952,Wiley,2
LB,6962,Bailey,3
LB,3305,Simmons,11
DB,6933,Newman,9
DB,6532,Reed,2

MeggaMen
Pos,ID,Player,Pts
HC,5646,Belichick,3
QB,3445,Hasselbeck,22
RB,7029,Davis,16
RB,4932,Thomas,0
WR,5657,Burress,7
WR,2638,Glenn,3
TE,2946,Jones,3
K ,5666,Janikowski,8
Off,623,Green Bay,0
DL,2969,Taylor,15
DL,6937,Williams,1
LB,3384,Barber,7
LB,3300,Brooking,9
DB,3176,Knight,11
DB,3887,Winfield,4

